,Player,matches,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
431,RJ Harris,37,117,9,112,45,865,1085,3.16,104.46,8.04,7.53,24.11,19.22,18,0
432,RJ Peterson,5,32,4,32,3,48,70,6.4,100,12.5,8.75,23.33,16,1,0
433,RJ Quiney,7,103,15,105,0,0,0,14.71,98.1,14.29,0,0,0,2,0
434,RK Bhui,2,7,0,18,0,0,0,3.5,38.89,0,0,0,0,0,0
435,RK Singh,15,251,32,204,0,0,0,16.73,123.04,15.69,0,0,0,17,0
436,RM Patidar,11,404,51,297,0,0,0,36.73,136.03,17.17,0,0,0,5,0
437,RN ten Doeschate,23,326,41,238,2,83,94,14.17,136.97,17.23,6.8,47,41.5,7,0
438,RP Meredith,13,0,0,1,12,289,412,0,0,0,8.55,34.33,24.08,1,0
439,RP Singh,82,52,3,78,90,1874,2417,0.63,66.67,3.85,7.74,26.86,20.82,27,0
440,RR Bhatkal,1,0,0,2,0,12,35,0,0,0,17.5,350000,120000,1,0
441,RR Pant,97,2851,391,2000,0,0,0,29.39,142.55,19.55,0,0,0,64,18
442,RR Powar,26,67,7,64,13,443,538,2.58,104.69,10.94,7.29,41.38,34.08,5,0
443,RR Raje,10,20,2,18,6,144,214,2,111.11,11.11,8.92,35.67,24,3,0
444,RR Rossouw,5,53,6,51,0,0,0,10.6,103.92,11.76,0,0,0,3,0
445,RR Sarwan,4,73,7,78,0,0,0,18.25,93.59,8.97,0,0,0,1,0
446,RS Bopara,24,531,55,468,11,213,301,22.12,113.46,11.75,8.48,27.36,19.36,4,0
447,RS Gavaskar,2,2,0,8,0,6,8,1,25,0,8,80000,60000,0,0
448,RS Sodhi,1,4,1,2,0,0,0,4,200,50,0,0,0,2,0
449,RT Ponting,9,91,7,129,0,0,0,10.11,70.54,5.43,0,0,0,4,0
450,RV Gomez,13,50,6,53,5,97,130,3.85,94.34,11.32,8.04,26,19.4,3,0
451,RV Patel,3,31,4,32,0,20,22,10.33,96.88,12.5,6.6,220000,200000,2,0
452,RV Uthappa,197,4954,663,3927,0,0,0,25.15,126.15,16.88,0,0,0,92,32
453,Ramandeep Singh,5,45,4,42,6,41,55,9,107.14,9.52,8.05,9.17,6.83,0,0
454,Rashid Khan,92,313,42,214,112,2232,2411,3.4,146.26,19.63,6.48,21.53,19.93,26,0
455,Rasikh Salam,3,12,1,10,0,51,70,4,120,10,8.24,700000,510000,1,0
456,Ravi Bishnoi,37,8,1,18,37,878,1083,0.22,44.44,5.56,7.4,29.27,23.73,7,0
457,S Anirudha,12,136,16,121,0,0,0,11.33,112.4,13.22,0,0,0,11,0
458,S Aravind,38,59,7,59,45,788,1057,1.55,100,11.86,8.05,23.49,17.51,5,0
459,S Badree,12,13,0,25,11,263,329,1.08,52,0,7.51,29.91,23.91,2,0
460,S Badrinath,65,1441,182,1245,0,0,0,22.17,115.74,14.62,0,0,0,16,0
461,S Chanderpaul,3,25,4,33,0,0,0,8.33,75.76,12.12,0,0,0,0,0
462,S Dhawan,205,6244,838,5083,4,49,72,30.46,122.84,16.49,8.82,18,12.25,93,0
